Item ID,Short Name,Assessment Instrument,Assessment Instrument Version,HIT Standard Name,HIT Standard Version,Item HIT Code,Item HIT Text,Item Subsets,Response HIT Code,Assessment Response Codes,Response HIT Text
M0080,Discipline of person completing assessment,OASIS,C2-012017,LOINC,2.63,46500-5,Discipline of person completing assessment Provider  [CMS Assessment],01|03|04|05|06|07|08|09,LA6309-4|LA6353-2|LA6367-2|LA6378-9,04|02|01|03,OT|PT|RN|SLP/ST
M0090,Date assessment completed,OASIS,C2-012017,LOINC,2.63,46501-3,Date assessment information completed [CMS Assessment],01|03|04|05|06|07|08|09,,,
M0100,Reason for assessment,OASIS,C2-012017,LOINC,2.63,57200-8,Reason for assessment [CMS Assessment],01|03|04|05|06|07|08|09,LA6179-1|LA6184-1|LA6312-8|LA6355-7|LA6366-4|LA6390-4|LA6401-9|LA6402-7,08|09|05|04|03|01|07|06,Death at home|Discharge from agency|Other follow-up|Recertification (follow-up) reassessment|Resumption of care (after inpatient stay)|Start of care - further visits planned|Transferred to an inpatient facility - patient discharged from agency|Transferred to an inpatient facility - patient not discharged from agency
M0102,{Physician/provider} ordered SOC/ROC date,OASIS,C2-012017,LOINC,2.63,57201-6,Date of Physician-ordered Start of Care (Resumption of Care) [CMS Assessment],01|03,,,
M0104,{Physician/provider} date of referral,OASIS,C2-012017,LOINC,2.63,57202-4,Date of Referral [CMS Assessment],01|03,,,
M0110,Episode timing,OASIS,C2-012017,LOINC,2.63,57203-2,Episode Timing [CMS Assessment],01|03|04|05,LA12111-3|LA12112-1|LA12114-7|LA4489-6,01|02|NA|UK,Early|Later|Not Applicable: No Medicare case mix group to be defined by this assessment.|Unknown
M0140,Race/ethnicity. Check all that apply,OASIS,C2-012017,LOINC,2.63,59362-4,Race or ethnicity OMB.1997,01|03,LA10610-6|LA10611-4|LA4457-3|LA6155-1|LA6156-9|LA6214-6,3|5|6|1|2|4,Black or African American|Native Hawaiian or Other Pacific Islander|White|American Indian or Alaska Native|Asian|Hispanic or Latino
M0150,Current payment sources for home care. Check all that apply,OASIS,C2-012017,LOINC,2.63,57199-2,Current payment sources for home care [CMS Assessment],01|03|04|05|06|07|08|09,LA12090-9|LA12092-5|LA27774-1|LA27775-8|LA4489-6|LA6256-7|LA6257-5|LA6259-1|LA6310-2|LA6349-0|LA6350-8|LA6369-8|LA6452-2,0|2|6|7|UK|4|3|1|11|9|8|10|5,"None; no charge for current services|Medicare (HMO/managed care/Advantage plan)|Title programs (for example, Title III, V, or XX)|Other government (for example, Tricare, VA)|Unknown|Medicaid (HMO/managed care)|Medicaid (traditional fee-for-service)|Medicare (traditional fee-for-service)|Other (specify)|Private HMO/managed care|Private insurance|Self-pay|Workers' compensation"
M0903,Date of last home visit,OASIS,C2-012017,LOINC,2.63,46581-5,Date of last home visit [CMS Assessment],06|07|08|09,,,
M0906,"Discharge, transfer, death date",OASIS,C2-012017,LOINC,2.63,46582-3,"Discharge, transfer, death date [CMS Assessment]",06|07|08|09,,,
M1000,Discharge facilities: Check all that apply,OASIS,C2-012017,LOINC,2.63,57204-0,Inpatient discharge facility [CMS Assessment],01|03,LA10000-0|LA10065-3|LA10078-6|LA10080-2|LA12115-4|LA6310-2|LA6342-5|LA9986-6,4|6|3|2|1|7|NA|5,Long-Term Care Hospital (LTCH)|Psychiatric hospital or unit|Short-stay acute hospital (IPPS)|Skilled nursing facility (SNF/TCU)|Long-term nursing facility (NF)|Other (specify)|Patient was not discharged from an inpatient facility|Inpatient rehabilitation hospital or unit (IRF)
M1005,Most recent inpatient discharge date,OASIS,C2-012017,LOINC,2.63,86470-2,Most recent inpatient discharge date in the last 14 days [CMS Assessment],01|03,,,
M1011_A,Inpatient stay within last 14 days: ICD code 1,OASIS,C2-012017,LOINC,2.63,46504-7,Inpatient stay within last 14 days - ICD code [CMS Assessment],01|03|04|05,,,
M1011_B,Inpatient stay within last 14 days: ICD code 2,OASIS,C2-012017,LOINC,2.63,46504-7,Inpatient stay within last 14 days - ICD code [CMS Assessment],01|03|04|05,,,
M1011_C,Inpatient stay within last 14 days: ICD code 3,OASIS,C2-012017,LOINC,2.63,46504-7,Inpatient stay within last 14 days - ICD code [CMS Assessment],01|03|04|05,,,
M1011_D,Inpatient stay within last 14 days: ICD code 4,OASIS,C2-012017,LOINC,2.63,46504-7,Inpatient stay within last 14 days - ICD code [CMS Assessment],01|03|04|05,,,
M1011_E,Inpatient stay within last 14 days: ICD code 5,OASIS,C2-012017,LOINC,2.63,46504-7,Inpatient stay within last 14 days - ICD code [CMS Assessment],01|03|04|05,,,
M1011_F,Inpatient stay within last 14 days: ICD code 6,OASIS,C2-012017,LOINC,2.63,46504-7,Inpatient stay within last 14 days - ICD code [CMS Assessment],01|03|04|05,,,
M1017_A,Regimen change in past 14 days: ICD code 1,OASIS,C2-012017,LOINC,2.63,46507-0,Regimen change in past 14 days - ICD code [CMS Assessment],01|03,,,
M1017_B,Regimen change in past 14 days: ICD code 2,OASIS,C2-012017,LOINC,2.63,46507-0,Regimen change in past 14 days - ICD code [CMS Assessment],01|03,,,
M1017_C,Regimen change in past 14 days: ICD code 3,OASIS,C2-012017,LOINC,2.63,46507-0,Regimen change in past 14 days - ICD code [CMS Assessment],01|03,,,
M1017_D,Regimen change in past 14 days: ICD code 4,OASIS,C2-012017,LOINC,2.63,46507-0,Regimen change in past 14 days - ICD code [CMS Assessment],01|03,,,
M1017_E,Regimen change in past 14 days: ICD code 5,OASIS,C2-012017,LOINC,2.63,46507-0,Regimen change in past 14 days - ICD code [CMS Assessment],01|03,,,
M1017_F,Regimen change in past 14 days: ICD code 6,OASIS,C2-012017,LOINC,2.63,46507-0,Regimen change in past 14 days - ICD code [CMS Assessment],01|03,,,
M1018,Conditions prior to medical or treatment change. Check all that apply,OASIS,C2-012017,LOINC,2.63,86469-4,Conditions prior to medical or treatment regimen change or inpatient stay that took place within past 14 days [CMS Assessment],01|03,LA27596-8|LA4489-6|LA6227-8|LA6240-1|LA6243-5|LA6261-7|LA6282-3|LA6436-5|LA9-3,5|UK|4|2|3|6|NA|1|7,Disruptive or socially inappropriate behavior|Unknown|Impaired decision-making|Indwelling/suprapubic catheter|Intractable pain|Memory loss to the extent that supervision required|No inpatient facility discharge and no change in medical/treatment regimen in past 14 days|Urinary incontinence|None of the above
M1021,Primary diagnosis,OASIS,C2-012017,LOINC,2.63,85912-4,Primary diagnosis [CMS Assessment],01|03|04|05,,,
M1021_A2_ICD,Primary diagnosis ICD code,OASIS,C2-012017,LOINC,2.63,86255-7,Primary Dx ICD code,01|03|04|05,,,
M1021_A2_SEV,Primary diagnosis severity rating,OASIS,C2-012017,LOINC,2.63,85920-7,Symptom control rating.primary diagnosis [CMS Assessment],01|03|04|05,LA27597-6|LA27598-4|LA27599-2|LA27600-8|LA27601-6,00|01|02|03|04,"Asymptomatic, no treatment needed at this time|Symptoms well controlled with current therapy|Symptoms controlled with difficulty, affecting daily functioning; patient needs ongoing monitoring|Symptoms poorly controlled; patient needs frequent adjustment in treatment and dose monitoring|Symptoms poorly controlled; history of re-hospitalizations"
M1023,Other diagnoses,OASIS,C2-012017,LOINC,2.63,85913-2,Other diagnoses [CMS Assessment],01|03|04|05,,,
M1023_B2_ICD,Other diagnosis 1: ICD code,OASIS,C2-012017,LOINC,2.63,81885-6,Secondary diagnosis,01|03|04|05,,,
M1023_B2_SEV,Other diagnosis 1: severity rating,OASIS,C2-012017,LOINC,2.63,85920-7,Symptom control rating [CMS Assessment],01|03|04|05,LA27597-6|LA27598-4|LA27599-2|LA27600-8|LA27601-6,00|01|02|03|04,"Asymptomatic, no treatment needed at this time|Symptoms well controlled with current therapy|Symptoms controlled with difficulty, affecting daily functioning; patient needs ongoing monitoring|Symptoms poorly controlled; patient needs frequent adjustment in treatment and dose monitoring|Symptoms poorly controlled; history of re-hospitalizations"
M1023_C2_ICD,Other diagnosis 2: ICD code,OASIS,C2-012017,LOINC,2.63,81885-6,Secondary diagnosis,01|03|04|05,,,
M1023_C2_SEV,Other diagnosis 2: severity rating,OASIS,C2-012017,LOINC,2.63,85920-7,Symptom control rating [CMS Assessment],01|03|04|05,LA27597-6|LA27598-4|LA27599-2|LA27600-8|LA27601-6,00|01|02|03|04,"Asymptomatic, no treatment needed at this time|Symptoms well controlled with current therapy|Symptoms controlled with difficulty, affecting daily functioning; patient needs ongoing monitoring|Symptoms poorly controlled; patient needs frequent adjustment in treatment and dose monitoring|Symptoms poorly controlled; history of re-hospitalizations"
M1023_D2_ICD,Other diagnosis 3: ICD code,OASIS,C2-012017,LOINC,2.63,81885-6,Secondary diagnosis,01|03|04|05,,,
M1023_D2_SEV,Other diagnosis 3: severity rating,OASIS,C2-012017,LOINC,2.63,85920-7,Symptom control rating [CMS Assessment],01|03|04|05,LA27597-6|LA27598-4|LA27599-2|LA27600-8|LA27601-6,00|01|02|03|04,"Asymptomatic, no treatment needed at this time|Symptoms well controlled with current therapy|Symptoms controlled with difficulty, affecting daily functioning; patient needs ongoing monitoring|Symptoms poorly controlled; patient needs frequent adjustment in treatment and dose monitoring|Symptoms poorly controlled; history of re-hospitalizations"
M1023_E2_ICD,Other diagnosis 4: ICD code,OASIS,C2-012017,LOINC,2.63,81885-6,Secondary diagnosis,01|03|04|05,,,
M1023_E2_SEV,Other diagnosis 4: severity rating,OASIS,C2-012017,LOINC,2.63,85920-7,Symptom control rating [CMS Assessment],01|03|04|05,LA27597-6|LA27598-4|LA27599-2|LA27600-8|LA27601-6,00|01|02|03|04,"Asymptomatic, no treatment needed at this time|Symptoms well controlled with current therapy|Symptoms controlled with difficulty, affecting daily functioning; patient needs ongoing monitoring|Symptoms poorly controlled; patient needs frequent adjustment in treatment and dose monitoring|Symptoms poorly controlled; history of re-hospitalizations"
M1023_F2_ICD,Other diagnosis 5: ICD code,OASIS,C2-012017,LOINC,2.63,81885-6,Secondary diagnosis,01|03|04|05,,,
M1023_F2_SEV,Other diagnosis 5: severity rating,OASIS,C2-012017,LOINC,2.63,85920-7,Symptom control rating [CMS Assessment],01|03|04|05,LA27597-6|LA27598-4|LA27599-2|LA27600-8|LA27601-6,00|01|02|03|04,"Asymptomatic, no treatment needed at this time|Symptoms well controlled with current therapy|Symptoms controlled with difficulty, affecting daily functioning; patient needs ongoing monitoring|Symptoms poorly controlled; patient needs frequent adjustment in treatment and dose monitoring|Symptoms poorly controlled; history of re-hospitalizations"
M1025_A3,"Optional diagnosis: primary, column 3",OASIS,C2-012017,LOINC,2.63,85914-0,Underlying resolved condition ICD code [CMS Assessment],01|03|04|05,,,
M1025_A4,"Optional diagnosis: primary, column 4",OASIS,C2-012017,LOINC,2.63,86254-0,Underlying resolved condition.multiple coding ICD code [CMS Assessment],01|03|04|05,,,
M1025_B3,"Optional diagnosis: first secondary, column 3",OASIS,C2-012017,LOINC,2.63,85914-0,Underlying resolved condition ICD code [CMS Assessment],01|03|04|05,,,
M1025_B4,"Optional diagnosis: first secondary, column 4",OASIS,C2-012017,LOINC,2.63,86254-0,Underlying resolved condition.multiple coding ICD code [CMS Assessment],01|03|04|05,,,
M1025_C3,"Optional diagnosis: second secondary, column 3",OASIS,C2-012017,LOINC,2.63,85914-0,Underlying resolved condition ICD code [CMS Assessment],01|03|04|05,,,
M1025_C4,"Optional diagnosis: second secondary, column 4",OASIS,C2-012017,LOINC,2.63,86254-0,Underlying resolved condition.multiple coding ICD code [CMS Assessment],01|03|04|05,,,
M1025_D3,"Optional diagnosis: third secondary, column 3",OASIS,C2-012017,LOINC,2.63,85914-0,Underlying resolved condition ICD code [CMS Assessment],01|03|04|05,,,
M1025_D4,"Optional diagnosis: third secondary, column 4",OASIS,C2-012017,LOINC,2.63,86254-0,Underlying resolved condition.multiple coding ICD code [CMS Assessment],01|03|04|05,,,
M1025_E3,"Optional diagnosis: fourth secondary, column 3",OASIS,C2-012017,LOINC,2.63,85914-0,Underlying resolved condition ICD code [CMS Assessment],01|03|04|05,,,
M1025_E4,"Optional diagnosis: fourth secondary, column 4",OASIS,C2-012017,LOINC,2.63,86254-0,Underlying resolved condition.multiple coding ICD code [CMS Assessment],01|03|04|05,,,
M1025_F3,"Optional diagnosis: fifth secondary, column 3",OASIS,C2-012017,LOINC,2.63,85914-0,Underlying resolved condition ICD code [CMS Assessment],01|03|04|05,,,
M1025_F4,"Optional diagnosis: fifth secondary, column 4",OASIS,C2-012017,LOINC,2.63,86254-0,Underlying resolved condition.multiple coding ICD code [CMS Assessment],01|03|04|05,,,
M1028,Comorbidities and co-existing conditions.  Check all that apply,OASIS,C2-012017,LOINC,2.63,83243-6,Comorbidities and coexisting conditions [CMS Assessment],01|03,LA18399-8|LA27539-8,1|2,Peripheral vascular disease (PVD) or peripheral arterial disease (PAD)|Diabetes mellitus (DM)
M1030,Therapies the {patient/resident} receives at home. Check all that apply,OASIS,C2-012017,LOINC,2.63,46466-9,Therapeutic substance administered at home [CMS Assessment],01|03|04|05,LA6194-0|LA6244-3|LA6321-9|LA9-3,3|1|2|4,"Enteral nutrition (nasogastric, gastrostomy, jejunostomy, or any other artificial entry into the alimentary canal)|Intravenous or infusion therapy (excludes TPN)|Parenteral nutrition (TPN or lipids)|None of the above"
M1033,Risk for hospitalization. Check all that apply,OASIS,C2-012017,LOINC,2.63,57319-6,Risk for hospitalization [CMS Assessment],01|03,LA27614-9|LA27615-6|LA27616-4|LA27617-2|LA27618-0|LA27619-9|LA27620-6|LA27621-4|LA27622-2|LA9-3,1|2|3|4|5|6|7|8|9|10,"History of falls (2 or more falls - or any fall with injury - in the past 12 months)|Unintentional weight loss of a total of 10 pounds or more in the past 12 months|Multiple hospitalizations (2 or more) in the past 6 months|Multiple emergency department visits (2 or more) in the past 6 months|Decline in mental, emotional, or behavioral status in the past 3 months|Reported or observed history of difficulty complying with any medical instructions (for example, medications, diet, exercise) in the past 3 months|Currently taking 5 or more medications|Currently reports exhaustion|Other risk(s) not listed in 1 - 8|None of the above"
M1034,{Patient's/resident's} overall status,OASIS,C2-012017,LOINC,2.63,57206-5,Overall status [CMS Assessment],01|03,LA10096-8|LA12137-8|LA12138-6|LA12139-4|LA12141-0,03|00|01|02|UK,The patient has serious progressive conditions that could lead to death within a year.|The patient is stable with no heightened risk(s) for serious complications and death (beyond those typical of the patient’s age).|The patient is temporarily facing high health risk(s) but is likely to return to being stable without heightened risk(s) for serious complications and death (beyond those typical of the patient’s age).|The patient is likely to remain in fragile health and have ongoing high risk(s) of serious complications and death.|The patient’s situation is unknown or unclear.
M1036,Risk factors. Check all that apply,OASIS,C2-012017,LOINC,2.63,57207-3,Risk factors affecting health status and or outcome [CMS Assessment],01|03,LA4489-6|LA6152-8|LA6189-0|LA6301-1|LA8928-9|LA9-3,UK|3|4|2|1|5,Unknown|Alcohol dependency|Drug dependency|Obesity|Smoking|None of the above
M1041,Does episode include Oct 1 thru Mar 31,OASIS,C2-012017,LOINC,2.63,85915-7,Episode of care includes influenza vaccination season [CMS Assessment],06|07|09,LA32-8|LA33-6,0|1,No|Yes
M1046,Did {patient/resident} receive influenza vaccine,OASIS,C2-012017,LOINC,2.63,57208-1,Influenza vaccination received in Reporting Period [CMS Assessment],06|07|09,LA27623-0|LA27624-8|LA27625-5|LA27626-3|LA27627-1|LA27628-9|LA27629-7|LA27630-5,01|02|03|04|05|06|07|08,"Yes; received from your agency during this episode of care (SOC/ROC to Transfer/Discharge)|Yes; received from your agency during a prior episode of care (SOC/ROC to Transfer/Discharge)|Yes; received from another health care provider (for example, physician, pharmacist)|No; patient offered and declined|No; patient assessed and determined to have medical contraindication(s)|No; not indicated - patient does not meet age/condition guidelines for influenza vaccine|No; inability to obtain vaccine due to declared shortage|No; patient did not receive the vaccine due to reasons other than those listed in responses 4- 7."
M1051,Was pneumococcal vaccine received,OASIS,C2-012017,LOINC,2.63,85916-5,Pneumococcal vaccination received [CMS Assessment],06|07|09,LA32-8|LA33-6,0|1,No|Yes
M1056,"If pneumococcal vaccination not received, state reason",OASIS,C2-012017,LOINC,2.63,45956-0,Reason pneumococcal vaccine not received [CMS Assessment],06|07|09,LA12154-3|LA186-9|LA27632-1|LA9-3,02|01|03|04,Assessed and determined to have medical contraindication(s)|Offered and declined|Not indicated; patient does not meet age/condition guidelines for Pneumococcal Vaccine|None of the above
M1060,Height and weight,OASIS,C2-012017,LOINC,2.63,54567-3,Height and weight,,,,
M1060_A,Height (in inches),OASIS,C2-012017,LOINC,2.63,3137-7,Body height Measured,01|03,,,
M1060_B,Weight (in pounds),OASIS,C2-012017,LOINC,2.63,3141-9,Weight Measured,01|03,,,
M1100,{Patient/resident} living situation,OASIS,C2-012017,LOINC,2.63,85950-4,Living situation and availability of assistance [CMS Assessment],01|03,LA27650-3|LA27651-1|LA27652-9|LA27653-7|LA27654-5|LA27655-2|LA27656-0|LA27657-8|LA27658-6|LA27659-4|LA27660-2|LA27661-0|LA27662-8|LA27663-6|LA27664-4,01|02|03|04|05|06|07|08|09|10|11|12|13|14|15,Patient lives alone - around the clock|Patient lives alone - regular daytime|Patient lives alone - regular nighttime|Patient lives alone - occasional/short-term assistance|Patient lives alone - no assistance available|Patient lives with other person(s) in the home - around the clock|Patient lives with other person(s) in the home - regular daytime|Patient lives with other person(s) in the home - regular nighttime|Patient lives with other person(s) in the home - occasional/short-term assistance|Patient lives with other person(s) in the home - no assistance available|Patient lives in congregate situation - around the clock|Patient lives in congregate situation - regular daytime|Patient lives in congregate situation - regular nighttime|Patient lives in congregate situation - occasional/short-term assistance|Patient lives in congregate situation - no assistance available
M1200,Sensory status: vision,OASIS,C2-012017,LOINC,2.63,57215-6,Vision [CMS Assessment],01|03|04|05,LA12168-3|LA12169-1|LA6375-5,00|01|02,"Normal vision: sees adequately in most situations; can see medication labels, newsprint.|Partially impaired: cannot see medication labels or newsprint, but can see obstacles in path, and the surrounding layout; can count fingers at arm's length.|Severely impaired: cannot locate objects without hearing or touching them or patient nonresponsive."
M1210,Ability to hear,OASIS,C2-012017,LOINC,2.63,57216-4,Ability to hear [CMS Assessment],01|03,LA12123-8|LA12124-6|LA12125-3|LA12174-1,00|01|02|UK,Adequate: hears normal conversation without difficulty.|Mildly to Moderately Impaired: difficulty hearing in some environments or speaker may need to increase volume or speak distinctly.|Severely Impaired: absence of useful hearing.|Unable to assess hearing.
M1220,Understanding verbal content in {patient's/resident's} language,OASIS,C2-012017,LOINC,2.63,57217-2,Understanding of verbal content [CMS Assessment],01|03,LA12175-8|LA12176-6|LA12177-4|LA12179-0|LA27670-1,00|01|02|UK|03,"Understands: clear comprehension without cues or repetitions.|Usually Understands: understands most conversations, but misses some part/intent of message. Requires cues at times to understand.|Sometimes Understands: understands only basic conversations or simple, direct phrases. Frequently requires cues to understand.|Unable to assess understanding.|Rarely/never understands."
M1230,Sensory status: speech,OASIS,C2-012017,LOINC,2.63,57218-0,Speech and oral expression of language [CMS Assessment],01|03|09,LA12181-6|LA12182-4|LA12183-2|LA12184-0|LA6197-3|LA6336-7,01|02|03|04|00|05,"Minimal difficulty in expressing ideas and needs (may take extra time; makes occasional errors in word choice, grammar or speech intelligibility; needs minimal prompting or assistance).|Expresses simple ideas or needs with moderate difficulty (needs prompting or assistance, errors in word choice, organization or speech intelligibility). Speaks in phrases or short sentences.|Has severe difficulty expressing basic ideas or needs and requires maximal assistance or guessing by listener. Speech limited to single words or short phrases.|Unable to express basic needs even with maximal prompting or assistance but is not comatose or unresponsive (for example, speech is nonsensical or unintelligible).|Expresses complex ideas, feelings, and needs clearly, completely, and easily in all situations with no observable impairment.|Patient nonresponsive or unable to speak."
M1240,Has {patient/resident} had a formal validated pain assessment,OASIS,C2-012017,LOINC,2.63,57219-8,Formal pain assessment using standardized tool [CMS Assessment],01|03,LA12187-3|LA12188-1|LA27671-9,01|02|00,"Yes, and it does not indicate severe pain|Yes, and it indicates severe pain|No standardized, validated assessment conducted"
M1242,Frequency of pain interfering with {patient/resident} activity/movement,OASIS,C2-012017,LOINC,2.63,57220-6,Frequency of pain interfering with activity or movement [CMS Assessment],01|03|04|05|09,LA12189-9|LA12190-7|LA6154-4|LA6177-5|LA6249-2,00|01|04|03|02,"Patient has no pain|Patient has pain that does not interfere with activity or movement|All of the time|Daily, but not constantly|Less often than daily"
M1300,Was {patient/resident} assessed for risk of developing pressure ulcers,OASIS,C2-012017,LOINC,2.63,57221-4,Pressure ulcer assessment was conducted [CMS Assessment],01|03,LA12194-9|LA27672-7|LA27673-5,00|02|01,"No assessment conducted|Yes, using a standardized, validated tool (for example, Braden Scale, Norton Scale)|Yes, based on an evaluation of clinical factors (for example, mobility, incontinence, nutrition) without use of standardized tool"
M1302,Risk of pressure ulcers/injuries,OASIS,C2-012017,LOINC,2.63,57280-0,Risk of developing pressure ulcers [CMS Assessment],01|03,LA32-8|LA33-6,0|1,No|Yes
M1306,{Patient/resident} has 1+ unhealed pressure ulcer at stage 2 or higher,OASIS,C2-012017,LOINC,2.63,85918-1,Unhealed Pressure Ulcer at Stage 2 or Higher or designated as unstageable [CMS Assessment],01|03|04|05|09,LA32-8|LA33-6,0|1,No|Yes
M1307,Status of oldest stage 2 pressure ulcer at discharge,OASIS,C2-012017,LOINC,2.63,57222-2,Oldest non-epithelialized stage 2 pressure injury present at discharge [CMS Assessment],9,LA12403-4|LA28342-6|LA28343-4,01|NA|02,"Was present at the most recent SOC/ROC assessment|No stage 2 pressure ulcers are present at discharge|Developed since the most recent SOC/ROC assessment, Record date pressure ulcer first identified"
M1307_DT,Date of onset of oldest stage 2 pressure ulcer,OASIS,C2-012017,LOINC,2.63,58052-2,Date pressure injury.oldest non-epithelialized stage 2 first identified [CMS Assessment],9,,,
M1311,Current number of unhealed pressure ulcers at each stage,OASIS,C2-012017,LOINC,2.63,85919-9,OASIS C2 - Current number of unhealed pressure ulcers at each stage -SOC or ROC [CMS Assessment],01|03|04|05|09,,,
M1311_A1,Stage 2 pressure ulcers: number present,OASIS,C2-012017,LOINC,2.63,55124-2,Number of pressure ulcers - stage 2 [CMS Assessment],01|03|04|05|09,,,
M1311_A2,Stage 2 pressure ulcers: number at admit/reentry,OASIS,C2-012017,LOINC,2.63,54886-7,Number of pressure ulcers present upon admission/reentry - stage 2 [CMS Assessment],04|05|09,,,
M1311_B1,Stage 3 pressure ulcers: number present,OASIS,C2-012017,LOINC,2.63,55125-9,Number of pressure ulcers - stage 3 [CMS Assessment],01|03|04|05|09,,,
M1311_B2,Stage 3 pressure ulcers: number at admit/reentry,OASIS,C2-012017,LOINC,2.63,54887-5,Number of pressure ulcers present upon admission/reentry - stage 3 [CMS Assessment],04|05|09,,,
M1311_C1,Stage 4 pressure ulcers: number present,OASIS,C2-012017,LOINC,2.63,55126-7,Number of pressure ulcers - stage 4 [CMS Assessment],01|03|04|05|09,,,
M1311_C2,Stage 4 pressure ulcers: number at admit/reentry,OASIS,C2-012017,LOINC,2.63,54890-9,Number of pressure ulcers present upon admission/reentry - stage 4 [CMS Assessment],04|05|09,,,
